MEAT,Description,Year,Net Wight,Month
Lamb,Offals,2020,1200,September
Lamb,Lamb Meat,2021,37618,September
Lamb,Offals,2021,0,September
Pork,Bellies,2019,3372863,September
Pork,Pork Cuts,2019,5939463,September
Pork,Deboned,2019,0,September
Pork,Fats,2019,5164702,September
Pork,Rind/Skin,2019,2400988,September
Pork,Offals,2019,12119188,September
Pork,Whole Pork,2019,0,September
Pork,Bellies,2020,4325131,September
Pork,Pork Cuts,2020,6988100,September
Pork,Deboned,2020,25000,September
Pork,Fats,2020,6177180,September
Pork,Offals,2020,10865374,September
Pork,Rind/Skin,2020,2628650,September
Pork,Bellies,2021,5428484,September
Pork,Deboned,2021,77051,September
Pork,Fats,2021,6150615,September
Pork,Offals,2021,16045441,September
Pork,Pork Cuts,2021,19506573,September
Pork,Rind/Skin,2021,2494024,September
Pork,Whole Pork,2021,54467,September
Turkey,Deboned,2020,28000,September
Turkey,Offals,2020,0,September
Turkey,Turkey Meat,2020,30000,September
Turkey,Whole Turkey,2020,0,September
Turkey,Deboned,2021,48000,September
Turkey,Offals,2021,0,September
Turkey,Rind/Skin,2021,0,September
Turkey,Turkey Meat,2021,17368,September
Turkey,Whole Turkey,2021,4945,September
Beef,Beef Cuts,2019,9160050,October
Beef,Choice Cuts,2019,1828516,October
Beef,Fats,2019,1936599,October
Beef,Offals,2019,794482,October
Beef,Beef Cuts,2020,14930555,October
Beef,Choice Cuts,2020,4399153,October
Beef,Fats,2020,3334800,October
Beef,Offals,2020,2049680,October
Buffalo,Forequarter,2019,1508984,October
Buffalo,Trimmings,2019,447968,October
Buffalo,Rumpsteak,2019,2976,October
Buffalo,Knuckles,2019,0,October
Buffalo,Trimmings,2020,1204500,October
Buffalo,Forequarters,2020,6158500,October
Buffalo,Buffalo Meat,2020,37000,October
Chicken,Chicken Cuts,2019,3908360,October
Chicken,Chicken Leg Quarter,2019,7419455,October
Chicken,Whole Chicken,2019,24947,October
Chicken,Deboned,2019,25889344,October
Chicken,Fats,2019,556832,October
Chicken,Rind/Skin,2019,41691,October
Chicken,Offals,2019,389690,October
Chicken ,Chicken Cuts,2020,3118106,October
Chicken ,Chicken Leg Quarters,2020,12516015,October
Chicken ,Deboned,2020,27487460,October
Chicken ,Fats,2020,887400,October
Chicken ,Offals,2020,702375,October
Chicken ,Rind/Skin,2020,109000,October
Chicken ,Whole Chicken,2020,0,October
Duck,Duck Meat,2019,0,October
Duck,Offals,2019,0,October
Duck,Whole Duck,2019,0,October
Lamb,Lamb Meat,2019,109641,October
Lamb,Fats,2020,0,October
Lamb,Lamb Meat,2020,30000,October
Lamb,Offals,2020,0,October
Pork,Bellies,2019,3771290,October
Pork,Pork Cuts,2019,8309943,October
Pork,Deboned,2019,0,October
Pork,Fats,2019,5832613,October
Pork,Rind/Skin,2019,2656607,October
Pork,Offals,2019,12774706,October
Pork,Whole Pork,2019,0,October
Pork,Bellies,2020,6169209,October
Pork,Pork Cuts,2020,9773886,October
Pork,Deboned,2020,0,October
Pork,Fats,2020,6353000,October
Pork,Offals,2020,12455614,October
Pork,Rind/Skin,2020,2643000,October
Turkey,Deboned,2020,28000,October
Turkey,Offals,2020,0,October
Turkey,Turkey Meat,2020,54000,October
Turkey,Whole Turkey,2020,48700,October
Beef,Beef Cuts,2019,7532339,November
Beef,Choice Cuts,2019,1131578,November
Beef,Fats,2019,2424584,November
Beef,Offals,2019,1051441,November
Beef,Beef Cuts,2020,6525841,November
Beef,Choice Cuts,2020,1109161,November
Beef,Fats,2020,3338500,November
Beef,Offals,2020,1271775,November
Buffalo,Forequarter,2019,1876800,November
Buffalo,Trimmings,2019,559936,November
Buffalo,Rumpsteak,2019,0,November
Buffalo,Knuckles,2019,0,November
Buffalo,Trimmings,2020,283000,November
Buffalo,Forequarters,2020,1562000,November
Buffalo,Buffalo Meat,2020,90000,November
Chicken,Chicken Cuts,2019,3694167,November
Chicken,Chicken Leg Quarter,2019,11548571,November
Chicken,Whole Chicken,2019,,November
Chicken,Deboned,2019,20380554,November
Chicken,Fats,2019,372800,November
Chicken,Rind/Skin,2019,259431,November
Chicken,Offals,2019,134010,November
Chicken ,Chicken Cuts,2020,1612543,November
Chicken ,Chicken Leg Quarters,2020,6547265,November
Chicken ,Deboned,2020,17994873,November
Chicken ,Fats,2020,0,November
Chicken ,Offals,2020,296000,November
Chicken ,Rind/Skin,2020,28000,November
Chicken ,Whole Chicken,2020,0,November
Duck,Duck Meat,2019,405,November
Duck,Offals,2019,0,November
Duck,Whole Duck,2019,0,November
Lamb,Lamb Meat,2019,48991,November
Lamb,Fats,2020,0,November
Lamb,Lamb Meat,2020,199000,November
Lamb,Offals,2020,0,November
Pork,Bellies,2019,3354043,November
Pork,Pork Cuts,2019,7104111,November
Pork,Deboned,2019,0,November
Pork,Fats,2019,5421699,November
Pork,Rind/Skin,2019,3064663,November
Pork,Offals,2019,10553275,November
Pork,Whole Pork,2019,0,November
Pork,Bellies,2020,4389930,November
Pork,Pork Cuts,2020,6043219,November
Pork,Deboned,2020,0,November
Pork,Fats,2020,4261669,November
Pork,Offals,2020,8749513,November
Pork,Rind/Skin,2020,2160500,November
Turkey,Deboned,2020,28000,November
Turkey,Offals,2020,0,November
Turkey,Turkey Meat,2020,14000,November
Turkey,Whole Turkey,2020,0,November
Beef,Beef Cuts,2019,5665881,December
Beef,Choice Cuts,2019,746048,December
Beef,Fats,2019,1405617,December
Beef,Offals,2019,777144,December
Beef,Beef Cuts,2020,8910301,December
Beef,Choice Cuts,2020,1808493,December
Beef,Fats,2020,2343000,December
Beef,Offals,2020,1365020,December
Buffalo,Forequarter,2019,2099872,December
Buffalo,Trimmings,2019,532000,December
Buffalo,Rumpsteak,2019,0,December
Buffalo,Knuckles,2019,0,December
Buffalo,Trimmings,2020,253000,December
Buffalo,Forequarters,2020,1260000,December
Buffalo,Buffalo Meat,2020,28000,December
Chicken,Chicken Cuts,2019,4479618,December
Chicken,Chicken Leg Quarter,2019,12429764,December
Chicken,Whole Chicken,2019,104955,December
Chicken,Deboned,2019,18297887,December
Chicken,Fats,2019,132000,December
Chicken,Rind/Skin,2019,358990,December
Chicken,Offals,2019,286791,December
Chicken ,Chicken Cuts,2020,1924315,December
Chicken ,Chicken Leg Quarters,2020,6327686,December
Chicken ,Deboned,2020,20123932,December
Chicken ,Fats,2020,0,December
Chicken ,Offals,2020,259000,December
Chicken ,Rind/Skin,2020,25000,December
Chicken ,Whole Chicken,2020,0,December
Duck,Duck Meat,2019,25175,December
Duck,Offals,2019,0,December
Duck,Whole Duck,2019,0,December
Lamb,Lamb Meat,2019,104251,December
Lamb,Fats,2020,0,December
Lamb,Lamb Meat,2020,40600,December
Lamb,Offals,2020,0,December
Pork,Bellies,2019,2944768,December
Pork,Pork Cuts,2019,3623260,December
Pork,Deboned,2019,0,December
Pork,Fats,2019,3848628,December
Pork,Rind/Skin,2019,1308748,December
Pork,Offals,2019,6737880,December
Pork,Whole Pork,2019,0,December
Pork,Bellies,2020,2392315,December
Pork,Pork Cuts,2020,6795490,December
Pork,Deboned,2020,25000,December
Pork,Fats,2020,3457400,December
Pork,Offals,2020,9972006,December
Pork,Rind/Skin,2020,2235000,December
Turkey,Deboned,2020,0,December
Turkey,Offals,2020,0,December
Turkey,Turkey Meat,2020,0,December
Turkey,Whole Turkey,2020,0,December
