MEAT,Description,Year,Net Wight,Month
Chicken,Chicken Leg Quarter,2019,2614336,June
Chicken,Whole Chicken,2019,,June
Chicken,Deboned,2019,21268054,June
Chicken,Fats,2019,398000,June
Chicken,Rind/Skin,2019,573829,June
Chicken,Offals,2019,135000,June
Chicken,Chicken Cuts,2021,6556262,June
Chicken,Chicken Leg Quarter,2021,16945324,June
Chicken,Deboned,2021,23537253,June
Chicken,Fats,2021,596460,June
Chicken,Offals,2021,583949,June
Chicken,Rind/Skin,2021,503087,June
Chicken ,Chicken Cuts,2020,2540726,June
Chicken ,Chicken Leg Quarters,2020,3194791,June
Chicken ,Deboned,2020,19228895,June
Chicken ,Fats,2020,436200,June
Chicken ,Offals,2020,345000,June
Chicken ,Rind/Skin,2020,210500,June
Chicken ,Whole Chicken,2020,0,June
Duck,Duck Meat,2019,0,June
Duck,Offals,2019,0,June
Duck,Whole Duck,2019,0,June
Duck,Duck Meat,2021,2000,June
Duck,Offals,2021,0,June
Lamb,Lamb Meat,2019,26891,June
Lamb,Fats,2020,0,June
Lamb,Lamb Meat,2020,467200,June
Lamb,Offals,2020,200,June
Lamb,Lamb Meat,2021,58350,June
Lamb,Offals,2021,0,June
Pork,Bellies,2019,2459141,June
Pork,Pork Cuts,2019,5171832,June
Pork,Deboned,2019,0,June
Pork,Fats,2019,4437774,June
Pork,Rind/Skin,2019,2315619,June
Pork,Offals,2019,11189401,June
Pork,Whole Pork,2019,0,June
Pork,Bellies,2020,2771780,June
Pork,Pork Cuts,2020,3145334,June
Pork,Deboned,2020,0,June
Pork,Fats,2020,1624719,June
Pork,Offals,2020,4700368,June
Pork,Rind/Skin,2020,983500,June
Pork,Bellies,2021,6195966,June
Pork,Deboned,2021,37862,June
Pork,Fats,2021,6317402,June
Pork,Offals,2021,15951490,June
Pork,Pork Cuts,2021,30383029,June
Pork,Rind/Skin,2021,3125574,June
Pork,Whole Pork,2021,16828,June
Turkey,Deboned,2020,56000,June
Turkey,Offals,2020,0,June
Turkey,Turkey Meat,2020,0,June
Turkey,Whole Turkey,2020,5000,June
Turkey,Deboned,2021,78000,June
Turkey,Offals,2021,0,June
Turkey,Rind/Skin,2021,25000,June
Turkey,Turkey Meat,2021,8300,June
Turkey,Whole Turkey,2021,0,June
Beef,Beef Cuts,2019,5143602,July
Beef,Choice Cuts,2019,1102594,July
Beef,Fats,2019,2130565,July
Beef,Offals,2019,1492467,July
Beef,Beef Cuts,2020,13191108,July
Beef,Choice Cuts,2020,4878094,July
Beef,Fats,2020,5104000,July
Beef,Offals,2020,1815600,July
Beef,Beef Cuts,2021,9245222,July
Beef,Choice Cuts,2021,953591,July
Beef,Fats,2021,2536258,July
Beef,Offals,2021,2197610,July
Buffalo,Forequarter,2019,1903848,July
Buffalo,Trimmings,2019,560000,July
Buffalo,Rumpsteak,2019,27976,July
Buffalo,Knuckles,2019,0,July
Buffalo,Trimmings,2020,196000,July
Buffalo,Forequarters,2020,1233000,July
Buffalo,Buffalo Meat,2020,28000,July
Buffalo,Buffalo Meat,2021,280500,July
Buffalo,Forequarter,2021,4144000,July
Buffalo,Trimmings,2021,336000,July
Chicken,Chicken Cuts,2019,1593415,July
Chicken,Chicken Leg Quarter,2019,4397059,July
Chicken,Whole Chicken,2019,21,July
Chicken,Deboned,2019,19240066,July
Chicken,Fats,2019,649504,July
Chicken,Rind/Skin,2019,930400,July
Chicken,Offals,2019,81000,July
Chicken,Chicken Cuts,2021,4142921,July
Chicken,Chicken Leg Quarter,2021,10673968,July
Chicken,Deboned,2021,19106830,July
Chicken,Fats,2021,642840,July
Chicken,Offals,2021,327470,July
Chicken,Rind/Skin,2021,406470,July
Chicken ,Chicken Cuts,2020,2491643,July
Chicken ,Chicken Leg Quarters,2020,1683995,July
Chicken ,Deboned,2020,32367149,July
Chicken ,Fats,2020,1151400,July
Chicken ,Offals,2020,125500,July
Chicken ,Rind/Skin,2020,99200,July
Chicken ,Whole Chicken,2020,19000,July
Duck,Duck Meat,2019,0,July
Duck,Offals,2019,32,July
Duck,Whole Duck,2019,25454,July
Duck,Duck Meat,2021,0,July
Duck,Offals,2021,0,July
Lamb,Lamb Meat,2019,135617,July
Lamb,Fats,2020,0,July
Lamb,Lamb Meat,2020,249500,July
Lamb,Offals,2020,0,July
Lamb,Lamb Meat,2021,26131,July
Lamb,Offals,2021,0,July
Pork,Bellies,2019,3023343,July
Pork,Pork Cuts,2019,5617312,July
Pork,Deboned,2019,0,July
Pork,Fats,2019,4968189,July
Pork,Rind/Skin,2019,2675353,July
Pork,Offals,2019,13400551,July
Pork,Whole Pork,2019,0,July
Pork,Bellies,2020,2718054,July
Pork,Pork Cuts,2020,6853201,July
Pork,Deboned,2020,0,July
Pork,Fats,2020,2799649,July
